Timestamp,what's your age ,what's your degree ,what is your year of studies ,what is your major ,  How many hours do you sleep on average per night?  ,   How many hours do you spend on screens per day (excluding academic work)?  ,  Do you engage in regular physical activity ? ,"  How many caffeinated drinks (coffee, tea, energy drinks) do you consume per day?  ",  How many hours do you study per week outside of class?  ,do u have exams in the next two weeks ,  How would you rate your current academic workload?  ,"   On a scale from 1 to 10, how would you rate your current stress level?  "
25/03/2026 19:39:00,23,cycle d'ingénieur,4th,Data science,7–8 hours,More than 6 hours,yes,1,Less than 10 hours,yes,low,6
09/02/2026 20:06:00,28,cycle d'ingénieur,3rd,Biomedical engineering,5–6 hours,More than 6 hours,no,1,10–20 hours,no,moderate,9
12/01/2026 17:38:00,24,licence,3rd,Psychology,7–8 hours,2–4 hours,no,2,More than 30 hours,no,high,6
02/03/2026 06:04:00,21,licence,3rd,Psychology,5–6 hours,More than 6 hours,no,3 or more,10–20 hours,no,low,1
08/03/2026 19:10:00,22,cycle d'ingénieur,3rd,Industrial computer science,7–8 hours,More than 6 hours,yes,3 or more,10–20 hours,yes,low,7
25/01/2026 15:42:00,22,cycle d'ingénieur,1st,Mechanical engineering,More than 8 hours,More than 6 hours,yes,2,20–30 hours,yes,low,5
15/03/2026 02:13:00,19,préparatoire intégrée,2nd,Chemistry,More than 8 hours,2–4 hours,no,1,20–30 hours,no,high,9
11/01/2026 18:09:00,18,préparatoire intégrée,1st,Computer science,Less than 5 hours,More than 6 hours,no,1,10–20 hours,yes,moderate,6
02/01/2026 07:05:00,23,mastère,1st,Graphic design,Less than 5 hours,4–6 hours,no,0,More than 30 hours,yes,moderate,10
23/01/2026 07:16:00,26,mastère,2nd,Droit / law,7–8 hours,4–6 hours,yes,0,Less than 10 hours,yes,moderate,4
20/03/2026 19:21:00,23,cycle d'ingénieur,2nd,Healthcare IT,Less than 5 hours,2–4 hours,no,1,20–30 hours,no,moderate,6
14/01/2026 03:54:00,30,doctorat,3rd,Computer science,Less than 5 hours,4–6 hours,no,1,Less than 10 hours,no,high,10
23/02/2026 21:59:00,21,licence,1st,Économie,5–6 hours,More than 6 hours,no,1,More than 30 hours,no,high,9
18/01/2026 15:08:00,23,licence,2nd,Web development,7–8 hours,2–4 hours,no,2,More than 30 hours,yes,moderate,8
04/04/2026 08:11:00,22,licence,2nd,Informatique de gestion,7–8 hours,More than 6 hours,no,0,10–20 hours,yes,moderate,4
29/03/2026 17:43:00,18,licence,3rd,Marketing,7–8 hours,2–4 hours,no,0,20–30 hours,yes,high,10
12/01/2026 19:58:00,24,mastère,2nd,Environmental science,7–8 hours,More than 6 hours,no,1,More than 30 hours,no,high,4
29/01/2026 14:14:00,21,préparatoire intégrée,2nd,Engineering sciences,5–6 hours,2–4 hours,no,0,20–30 hours,no,low,4
10/04/2026 18:17:00,24,licence,1st,Informatique de gestion,7–8 hours,More than 6 hours,no,2,Less than 10 hours,no,low,3
09/03/2026 14:59:00,18,licence,1st,English,7–8 hours,4–6 hours,no,1,10–20 hours,yes,moderate,7
28/01/2026 08:01:00,23,licence,2nd,Accounting,7–8 hours,4–6 hours,yes,3 or more,Less than 10 hours,yes,low,7
05/02/2026 01:56:00,26,cycle d'ingénieur,1st,Civil engineering,Less than 5 hours,More than 6 hours,no,1,20–30 hours,no,moderate,6
06/03/2026 07:26:00,24,pharmacie,1st,Clinical pharmacy,Less than 5 hours,More than 6 hours,no,1,20–30 hours,yes,high,8
05/02/2026 22:58:00,26,mastère,2nd,Business law,5–6 hours,2–4 hours,yes,0,10–20 hours,yes,high,4
29/03/2026 11:46:00,26,cycle d'ingénieur,5th,Robotics,7–8 hours,4–6 hours,yes,2,Less than 10 hours,no,low,5
22/01/2026 21:19:00,25,mastère,1st,Graphic design,5–6 hours,More than 6 hours,no,2,20–30 hours,no,high,7
06/03/2026 02:19:00,23,licence,3rd,Accounting,7–8 hours,4–6 hours,yes,0,Less than 10 hours,no,moderate,4
17/01/2026 08:19:00,20,médecine,2nd,Neurology,5–6 hours,More than 6 hours,no,3 or more,Less than 10 hours,yes,low,9
12/01/2026 21:41:00,21,préparatoire intégrée,1st,Biology,5–6 hours,2–4 hours,no,0,20–30 hours,no,high,8
19/01/2026 20:31:00,24,licence,3rd,Chemistry,7–8 hours,2–4 hours,no,2,Less than 10 hours,no,low,6
13/03/2026 10:12:00,20,pharmacie,5th,Clinical pharmacy,7–8 hours,4–6 hours,no,2,20–30 hours,yes,high,7
07/03/2026 20:54:00,21,cycle d'ingénieur,4th,Mechanical engineering,5–6 hours,4–6 hours,no,0,10–20 hours,yes,low,1
13/01/2026 18:51:00,21,Bachelor degree at TBS,2nd,Entrepreneurship,More than 8 hours,More than 6 hours,no,0,More than 30 hours,no,high,7
10/01/2026 06:49:00,20,cycle d'ingénieur,3rd,Cybersecurity,5–6 hours,4–6 hours,no,0,Less than 10 hours,yes,low,2
07/03/2026 19:53:00,18,préparatoire intégrée,2nd,Mathematics,5–6 hours,2–4 hours,no,2,More than 30 hours,yes,moderate,7
16/01/2026 15:37:00,21,cycle d'ingénieur,3rd,Computer science,7–8 hours,2–4 hours,yes,1,Less than 10 hours,no,low,3
30/03/2026 07:10:00,17,licence,1st,Marketing,7–8 hours,2–4 hours,yes,2,Less than 10 hours,yes,high,6
02/02/2026 01:15:00,27,médecine,1st,Pediatrics,More than 8 hours,2–4 hours,no,1,Less than 10 hours,no,low,3
06/03/2026 11:18:00,22,cycle d'ingénieur,4th,Industrial computer science,More than 8 hours,2–4 hours,yes,1,10–20 hours,no,low,1
07/02/2026 04:25:00,25,mastère,1st,Cybersecurity,5–6 hours,4–6 hours,no,0,20–30 hours,yes,moderate,10
22/01/2026 10:53:00,18,licence,1st,Accounting,7–8 hours,4–6 hours,no,3 or more,10–20 hours,yes,high,7
05/03/2026 08:14:00,20,licence,2nd,Sciences de gestion,Less than 5 hours,2–4 hours,no,2,10–20 hours,yes,high,8
06/03/2026 18:48:00,22,cycle d'ingénieur,4th,Telecommunications engineering,7–8 hours,2–4 hours,no,0,10–20 hours,no,high,10
02/01/2026 21:14:00,22,licence,3rd,Biotechnology,5–6 hours,2–4 hours,yes,1,Less than 10 hours,no,moderate,6
24/02/2026 14:40:00,22,cycle d'ingénieur,5th,Software engineering,7–8 hours,2–4 hours,yes,1,10–20 hours,no,moderate,3
16/01/2026 23:07:00,20,licence,2nd,Chemistry,7–8 hours,2–4 hours,yes,3 or more,20–30 hours,yes,moderate,7
16/02/2026 14:16:00,23,cycle d'ingénieur,1st,Healthcare IT,Less than 5 hours,More than 6 hours,no,2,20–30 hours,yes,high,9
27/02/2026 08:52:00,28,cycle d'ingénieur,5th,Software engineering,More than 8 hours,4–6 hours,yes,1,20–30 hours,no,low,2
23/03/2026 02:54:00,20,licence,2nd,Biotechnology,7–8 hours,4–6 hours,yes,2,Less than 10 hours,yes,low,4
09/04/2026 03:43:00,29,mastère,1st,Graphic design,More than 8 hours,Less than 2 hours,no,1,20–30 hours,no,moderate,4
28/01/2026 13:42:00,24,cycle d'ingénieur,5th,Industrial computer science,7–8 hours,2–4 hours,no,1,20–30 hours,yes,low,5
05/04/2026 02:01:00,25,cycle d'ingénieur,3rd,Industrial computer science,7–8 hours,Less than 2 hours,no,2,20–30 hours,no,moderate,7
24/01/2026 15:56:00,25,cycle d'ingénieur,3rd,Data science,7–8 hours,More than 6 hours,yes,3 or more,20–30 hours,no,high,5
25/01/2026 11:24:00,21,cycle d'ingénieur,1st,Mechanical engineering,Less than 5 hours,More than 6 hours,yes,0,Less than 10 hours,no,low,4
14/01/2026 20:55:00,19,préparatoire intégrée,2nd,Mathematics,5–6 hours,2–4 hours,yes,1,20–30 hours,no,moderate,2
14/01/2026 11:08:00,24,cycle d'ingénieur,1st,Data science,Less than 5 hours,4–6 hours,no,3 or more,Less than 10 hours,yes,moderate,9
17/02/2026 04:00:00,26,cycle d'ingénieur,4th,Cybersecurity,Less than 5 hours,2–4 hours,no,3 or more,Less than 10 hours,no,high,7
11/02/2026 07:32:00,19,préparatoire intégrée,2nd,Engineering sciences,Less than 5 hours,Less than 2 hours,no,0,10–20 hours,no,moderate,3
23/01/2026 10:00:00,25,cycle d'ingénieur,5th,Biomedical engineering,More than 8 hours,Less than 2 hours,yes,3 or more,10–20 hours,yes,moderate,6
26/02/2026 18:06:00,25,cycle d'ingénieur,5th,Cybersecurity,Less than 5 hours,2–4 hours,yes,2,10–20 hours,yes,moderate,6
18/03/2026 08:38:00,22,cycle d'ingénieur,4th,Biomedical engineering,More than 8 hours,2–4 hours,yes,2,Less than 10 hours,yes,low,1
13/02/2026 09:56:00,24,cycle d'ingénieur,1st,Telecommunications engineering,5–6 hours,2–4 hours,no,2,10–20 hours,yes,moderate,8
02/03/2026 17:57:00,22,licence,3rd,Accounting,More than 8 hours,4–6 hours,no,2,Less than 10 hours,yes,low,1
24/02/2026 08:41:00,26,mastère,1st,AI & machine learning,Less than 5 hours,Less than 2 hours,yes,1,20–30 hours,no,low,1
19/03/2026 18:00:00,19,licence,2nd,Économie,Less than 5 hours,4–6 hours,no,2,10–20 hours,no,moderate,8
19/01/2026 04:38:00,27,mastère,1st,AI & machine learning,5–6 hours,4–6 hours,no,0,Less than 10 hours,no,moderate,6
03/01/2026 03:15:00,21,Bachelor degree at TBS,1st,Business administration,5–6 hours,2–4 hours,no,0,10–20 hours,yes,moderate,9
04/04/2026 10:54:00,21,cycle d'ingénieur,1st,Industrial computer science,More than 8 hours,More than 6 hours,no,1,Less than 10 hours,no,low,2
30/03/2026 20:07:00,22,licence,3rd,Web development,Less than 5 hours,4–6 hours,yes,1,20–30 hours,yes,moderate,9
27/04/2026 09:05:00,20,licence,2nd,Sociology,5–6 hours,More than 6 hours,yes,0,20–30 hours,no,moderate,4
10/01/2026 13:33:00,23,cycle d'ingénieur,2nd,Cybersecurity,7–8 hours,2–4 hours,yes,3 or more,Less than 10 hours,yes,low,3
06/02/2026 06:25:00,25,mastère,1st,Data analytics,7–8 hours,More than 6 hours,no,3 or more,More than 30 hours,no,high,6
10/01/2026 14:10:00,23,cycle d'ingénieur,3rd,Industrial computer science,7–8 hours,2–4 hours,yes,2,10–20 hours,yes,low,8
01/04/2026 13:09:00,22,licence,3rd,Psychology,5–6 hours,4–6 hours,no,2,20–30 hours,yes,high,10
08/03/2026 07:59:40,20,licence,2nd,Sc de gestion,5–6 hours,4–6 hours,yes,1,Less than 10 hours,no,low,1
28/02/2026 22:06:00,19,préparatoire intégrée,2nd,Biology,More than 8 hours,4–6 hours,no,1,10–20 hours,no,moderate,5
12/01/2026 17:42:00,23,mastère,2nd,Environmental science,5–6 hours,More than 6 hours,yes,1,10–20 hours,yes,moderate,10
27/01/2026 12:59:00,19,cycle d'ingénieur,1st,Civil engineering,Less than 5 hours,More than 6 hours,no,1,10–20 hours,no,high,8
20/02/2026 02:19:00,28,doctorat,1st,Architecture and urban planning,5–6 hours,4–6 hours,no,2,20–30 hours,yes,high,10
08/02/2026 15:45:00,21,pharmacie,4th,Industrial pharmacy,7–8 hours,4–6 hours,no,3 or more,20–30 hours,no,high,5
13/04/2026 00:17:00,22,mastère,1st,Data analytics,5–6 hours,More than 6 hours,no,1,10–20 hours,yes,high,8
06/04/2026 19:34:00,20,préparatoire intégrée,2nd,Computer science,5–6 hours,2–4 hours,yes,0,Less than 10 hours,yes,low,6
26/02/2026 22:19:00,23,cycle d'ingénieur,2nd,Mechanical engineering,More than 8 hours,2–4 hours,no,0,More than 30 hours,no,high,7
21/02/2026 15:44:00,23,licence,2nd,Physics,More than 8 hours,4–6 hours,no,3 or more,20–30 hours,no,moderate,6
14/02/2026 22:59:00,20,licence,3rd,Philosophy,7–8 hours,2–4 hours,yes,1,10–20 hours,no,high,4
22/02/2026 17:10:00,27,mastère,1st,AI & machine learning,Less than 5 hours,2–4 hours,no,3 or more,10–20 hours,no,high,7
12/04/2026 09:54:00,17,licence,3rd,Marketing,7–8 hours,2–4 hours,no,0,20–30 hours,yes,high,10
27/01/2026 04:36:00,30,mastère,2nd,Finance & banking,7–8 hours,More than 6 hours,yes,0,Less than 10 hours,no,low,5
30/03/2026 23:48:00,18,préparatoire intégrée,2nd,Mathematics,Less than 5 hours,More than 6 hours,no,0,More than 30 hours,yes,moderate,9
10/03/2026 19:31:00,24,mastère,2nd,Environmental science,7–8 hours,4–6 hours,yes,2,20–30 hours,yes,low,6
11/04/2026 21:02:00,21,licence,3rd,Biotechnology,5–6 hours,More than 6 hours,no,1,Less than 10 hours,yes,low,2
06/03/2026 01:26:00,27,médecine,2nd,Pediatrics,Less than 5 hours,4–6 hours,no,1,10–20 hours,yes,high,9
25/04/2026 19:01:00,19,préparatoire intégrée,1st,Computer science,5–6 hours,4–6 hours,yes,1,20–30 hours,yes,low,6
21/04/2026 19:58:00,20,préparatoire intégrée,2nd,Physics,7–8 hours,More than 6 hours,yes,1,More than 30 hours,no,moderate,5
04/03/2026 06:18:13,23,cycle d'ingénieur,1st,Biomedical Engineering,5–6 hours,Less than 2 hours,no,3 or more,Less than 10 hours,yes,moderate,9
15/04/2026 12:53:00,27,cycle d'ingénieur,2nd,Computer science,Less than 5 hours,4–6 hours,yes,3 or more,10–20 hours,no,moderate,6
10/01/2026 22:21:00,23,cycle d'ingénieur,5th,Biomedical engineering,7–8 hours,Less than 2 hours,yes,2,Less than 10 hours,yes,low,2
13/03/2026 22:07:00,19,pharmacie,2nd,Pharmacology,5–6 hours,More than 6 hours,no,0,20–30 hours,yes,high,10
24/03/2026 22:34:00,19,préparatoire intégrée,2nd,Mathematics,5–6 hours,2–4 hours,no,2,More than 30 hours,yes,moderate,7
12/01/2026 12:38:00,22,licence,3rd,Physics,7–8 hours,4–6 hours,yes,1,10–20 hours,yes,low,1
23/04/2026 16:30:00,18,préparatoire intégrée,2nd,Chemistry,Less than 5 hours,More than 6 hours,no,0,10–20 hours,yes,high,10
13/02/2026 13:45:00,27,pharmacie,5th,Clinical pharmacy,5–6 hours,More than 6 hours,yes,0,10–20 hours,no,low,1
28/01/2026 09:12:00,20,préparatoire intégrée,1st,Biology,5–6 hours,2–4 hours,no,0,20–30 hours,no,high,8
19/02/2026 05:23:00,25,licence,2nd,Physics,7–8 hours,4–6 hours,no,3 or more,20–30 hours,no,moderate,6
27/01/2026 08:27:00,22,mastère,1st,Graphic design,Less than 5 hours,4–6 hours,no,0,More than 30 hours,yes,moderate,9
16/03/2026 04:54:40,20,licence,2nd,Sc de gestion,5–6 hours,4–6 hours,yes,1,Less than 10 hours,no,low,1
15/02/2026 19:24:00,26,cycle d'ingénieur,3rd,Biomedical engineering,5–6 hours,2–4 hours,no,3 or more,Less than 10 hours,no,moderate,3
09/02/2026 01:23:00,28,doctorat,1st,Mathematics,More than 8 hours,4–6 hours,no,1,10–20 hours,yes,moderate,9
28/03/2026 00:24:00,20,cycle d'ingénieur,1st,Data science,5–6 hours,4–6 hours,no,0,More than 30 hours,no,high,9
25/02/2026 19:31:00,28,mastère,1st,Droit / law,5–6 hours,4–6 hours,yes,1,Less than 10 hours,yes,low,8
10/03/2026 07:43:04,25,mastère,2nd,Business law master ,7–8 hours,4–6 hours,yes,1,20–30 hours,no,moderate,8
23/03/2026 13:23:00,21,licence,1st,Informatique de gestion,More than 8 hours,2–4 hours,no,2,20–30 hours,yes,high,7
16/01/2026 14:15:00,21,cycle d'ingénieur,2nd,Computer science,Less than 5 hours,4–6 hours,no,3 or more,More than 30 hours,no,high,8
31/01/2026 11:32:00,28,pharmacie,3rd,Industrial pharmacy,5–6 hours,More than 6 hours,yes,3 or more,10–20 hours,no,moderate,9
04/03/2026 21:52:00,18,licence,3rd,Accounting,Less than 5 hours,More than 6 hours,yes,0,Less than 10 hours,yes,moderate,7
26/02/2026 09:02:00,19,préparatoire intégrée,1st,Mathematics,More than 8 hours,4–6 hours,yes,3 or more,20–30 hours,no,low,3
31/03/2026 15:55:00,29,mastère,2nd,Droit / law,7–8 hours,4–6 hours,yes,0,10–20 hours,no,moderate,4
21/01/2026 22:10:00,26,cycle d'ingénieur,5th,Industrial computer science,5–6 hours,More than 6 hours,no,3 or more,10–20 hours,no,moderate,8
22/01/2026 14:22:00,19,Bachelor degree at TBS,2nd,Entrepreneurship,More than 8 hours,More than 6 hours,no,0,More than 30 hours,no,high,7
20/03/2026 17:39:52,21,cycle d'ingénieur,2nd,Telecommunications,5–6 hours,4–6 hours,yes,1,10–20 hours,yes,moderate,9
21/02/2026 00:15:00,29,mastère,1st,Telecom & networks,Less than 5 hours,More than 6 hours,no,1,10–20 hours,yes,high,10
20/01/2026 00:59:00,25,mastère,2nd,Cybersecurity,7–8 hours,2–4 hours,no,3 or more,More than 30 hours,no,high,7
07/04/2026 10:57:00,21,cycle d'ingénieur,1st,Data science,Less than 5 hours,4–6 hours,no,0,More than 30 hours,no,high,8
16/03/2026 14:03:06,20,cycle d'ingénieur,4th,Biomedical engineering ,Less than 5 hours,4–6 hours,yes,2,Less than 10 hours,no,low,8
22/01/2026 01:15:00,23,licence,2nd,Law,7–8 hours,2–4 hours,yes,3 or more,Less than 10 hours,yes,low,2
01/03/2026 16:42:00,24,cycle d'ingénieur,4th,Data science,5–6 hours,4–6 hours,yes,2,More than 30 hours,yes,moderate,9
09/04/2026 07:58:00,23,cycle d'ingénieur,4th,Data science,7–8 hours,More than 6 hours,yes,1,Less than 10 hours,yes,low,6
04/03/2026 03:47:00,22,cycle d'ingénieur,3rd,Industrial computer science,7–8 hours,More than 6 hours,no,1,10–20 hours,no,high,9
09/02/2026 14:19:00,28,mastère,2nd,Environmental science,More than 8 hours,4–6 hours,no,0,Less than 10 hours,yes,low,4
31/03/2026 04:54:00,20,cycle d'ingénieur,5th,Computer science,More than 8 hours,4–6 hours,yes,2,Less than 10 hours,yes,moderate,6
28/02/2026 04:59:00,18,préparatoire intégrée,2nd,Computer science,Less than 5 hours,More than 6 hours,yes,3 or more,10–20 hours,yes,moderate,8
08/02/2026 03:54:00,24,mastère,1st,Data analytics,7–8 hours,More than 6 hours,no,3 or more,More than 30 hours,no,high,6
04/03/2026 11:21:00,19,cycle d'ingénieur,5th,Cybersecurity,More than 8 hours,2–4 hours,no,1,Less than 10 hours,no,low,2
09/04/2026 06:52:00,20,licence,2nd,Philosophy,Less than 5 hours,2–4 hours,no,3 or more,10–20 hours,yes,high,10
20/02/2026 20:05:00,20,préparatoire intégrée,1st,Computer science,More than 8 hours,2–4 hours,no,1,Less than 10 hours,no,low,1
26/02/2026 11:34:00,20,médecine,5th,Pediatrics,7–8 hours,4–6 hours,yes,1,10–20 hours,yes,low,5
21/02/2026 10:45:00,17,préparatoire intégrée,1st,AI,5–6 hours,4–6 hours,no,0,10–20 hours,no,low,4
07/03/2026 16:27:00,24,pharmacie,5th,Industrial pharmacy,7–8 hours,More than 6 hours,yes,3 or more,20–30 hours,no,low,2
26/03/2026 00:22:00,23,cycle d'ingénieur,3rd,Telecommunications engineering,5–6 hours,4–6 hours,no,3 or more,20–30 hours,yes,moderate,8
16/03/2026 06:08:00,23,cycle d'ingénieur,2nd,Robotics,Less than 5 hours,2–4 hours,no,3 or more,More than 30 hours,yes,high,9
10/04/2026 19:27:00,29,médecine,3rd,General medicine,Less than 5 hours,2–4 hours,yes,3 or more,10–20 hours,yes,moderate,8
26/01/2026 19:48:00,24,mastère,2nd,Environmental science,7–8 hours,More than 6 hours,no,1,More than 30 hours,no,high,4
15/04/2026 05:19:42,23,cycle d'ingénieur,2nd,Biomedical engineering ,5–6 hours,More than 6 hours,no,1,Less than 10 hours,yes,moderate,7
26/04/2026 21:24:00,17,préparatoire intégrée,1st,Mathematics,7–8 hours,4–6 hours,yes,0,Less than 10 hours,yes,low,5
11/03/2026 01:42:07,21,licence,3rd,English ,7–8 hours,More than 6 hours,yes,1,Less than 10 hours,yes,moderate,10
06/04/2026 08:06:00,19,pharmacie,2nd,Pharmacology,7–8 hours,Less than 2 hours,yes,0,10–20 hours,no,low,5
14/03/2026 07:43:00,23,cycle d'ingénieur,5th,Software engineering,7–8 hours,2–4 hours,yes,1,10–20 hours,no,moderate,3
22/02/2026 07:05:00,26,mastère,1st,AI & machine learning,Less than 5 hours,2–4 hours,no,3 or more,10–20 hours,no,high,7
31/03/2026 21:59:00,22,licence,2nd,Web development,5–6 hours,4–6 hours,no,3 or more,10–20 hours,no,high,10
19/01/2026 08:11:00,19,licence,2nd,Mathematics,Less than 5 hours,4–6 hours,no,0,More than 30 hours,no,moderate,3
18/04/2026 17:52:00,27,mastère,2nd,Project management,5–6 hours,More than 6 hours,no,1,Less than 10 hours,no,moderate,7
31/01/2026 05:10:00,17,licence,1st,History,Less than 5 hours,More than 6 hours,no,0,20–30 hours,yes,high,7
23/03/2026 09:02:00,24,pharmacie,1st,Clinical pharmacy,Less than 5 hours,More than 6 hours,no,1,20–30 hours,yes,high,8
14/04/2026 01:30:00,22,cycle d'ingénieur,4th,Electrical engineering,5–6 hours,More than 6 hours,no,1,20–30 hours,no,high,8
02/03/2026 10:44:00,23,licence,2nd,Physics,7–8 hours,4–6 hours,no,0,Less than 10 hours,no,low,3
19/03/2026 00:30:00,22,mastère,1st,Business law,7–8 hours,2–4 hours,no,1,20–30 hours,yes,high,5
14/02/2026 01:26:00,30,doctorat,3rd,Materials science,Less than 5 hours,4–6 hours,no,2,Less than 10 hours,yes,moderate,9
23/01/2026 23:08:00,23,licence,2nd,Web development,7–8 hours,2–4 hours,no,2,More than 30 hours,yes,moderate,8
12/04/2026 04:56:00,17,médecine,2nd,Cardiology,Less than 5 hours,4–6 hours,yes,1,Less than 10 hours,yes,moderate,8
08/04/2026 08:33:42,22,cycle d'ingénieur,2nd,Biomedical engineering ,5–6 hours,More than 6 hours,no,1,Less than 10 hours,yes,moderate,6
27/03/2026 10:17:42,19,licence,1st,Sciences de gestion ,7–8 hours,4–6 hours,no,3 or more,10–20 hours,yes,moderate,6
12/01/2026 00:47:00,24,cycle d'ingénieur,4th,Embedded systems,5–6 hours,More than 6 hours,no,0,20–30 hours,no,high,10
11/04/2026 11:38:00,23,cycle d'ingénieur,5th,Embedded systems,7–8 hours,4–6 hours,no,3 or more,Less than 10 hours,no,moderate,10
02/03/2026 05:42:47,21,cycle d'ingénieur,4th,Informatique ,7–8 hours,4–6 hours,no,1,10–20 hours,yes,low,4
08/05/2026 06:54:00,23,cycle d'ingénieur,1st,Mechanical engineering,5–6 hours,4–6 hours,yes,1,Less than 10 hours,no,moderate,5
03/04/2026 01:10:00,23,licence,3rd,Accounting,5–6 hours,4–6 hours,yes,0,Less than 10 hours,no,moderate,3
26/04/2026 04:50:00,26,cycle d'ingénieur,1st,Cybersecurity,5–6 hours,Less than 2 hours,no,0,Less than 10 hours,yes,low,5
21/03/2026 11:36:00,25,licence,3rd,Mathematics,7–8 hours,4–6 hours,yes,0,Less than 10 hours,no,low,1
11/04/2026 07:07:00,21,licence,2nd,Philosophy,Less than 5 hours,2–4 hours,no,3 or more,10–20 hours,yes,high,10
23/03/2026 14:03:00,22,cycle d'ingénieur,1st,Telecommunications engineering ,7–8 hours,More than 6 hours,no,1,10–20 hours,yes,moderate,4
03/04/2026 08:00:00,26,mastère,1st,Data analytics,5–6 hours,2–4 hours,yes,0,20–30 hours,yes,moderate,9
08/03/2026 04:50:00,24,licence,3rd,Accounting,7–8 hours,4–6 hours,yes,0,Less than 10 hours,no,moderate,5
26/04/2026 16:13:00,22,mastère,1st,AI & machine learning,7–8 hours,More than 6 hours,no,0,20–30 hours,no,high,4
16/04/2026 07:49:00,23,cycle d'ingénieur,4th,Healthcare IT,7–8 hours,More than 6 hours,no,3 or more,More than 30 hours,no,high,9
26/03/2026 04:06:00,27,mastère,2nd,AI & machine learning,5–6 hours,More than 6 hours,yes,2,More than 30 hours,yes,moderate,8
09/03/2026 14:40:07,23,licence,3rd,English ,7–8 hours,More than 6 hours,yes,1,Less than 10 hours,yes,moderate,10
26/02/2026 18:13:00,22,mastère,2nd,Droit / law,7–8 hours,2–4 hours,yes,1,20–30 hours,no,moderate,4
12/02/2026 17:49:00,29,mastère,2nd,Project management,Less than 5 hours,2–4 hours,no,0,20–30 hours,no,high,9
06/04/2026 00:37:00,23,cycle d'ingénieur,2nd,Robotics,5–6 hours,4–6 hours,no,3 or more,10–20 hours,no,high,10
06/01/2026 15:36:00,23,mastère,1st,Graphic design,Less than 5 hours,4–6 hours,no,0,More than 30 hours,yes,moderate,10
01/05/2026 11:30:00,29,cycle d'ingénieur,1st,Cybersecurity,5–6 hours,Less than 2 hours,no,0,Less than 10 hours,yes,low,4
10/04/2026 02:25:00,17,médecine,2nd,Cardiology,Less than 5 hours,4–6 hours,yes,1,Less than 10 hours,yes,moderate,8
20/01/2026 11:56:00,24,cycle d'ingénieur,5th,Healthcare IT,7–8 hours,4–6 hours,no,2,20–30 hours,no,low,1
01/04/2026 00:11:00,20,licence,2nd,Économie,Less than 5 hours,4–6 hours,no,2,10–20 hours,no,moderate,8
22/03/2026 10:38:35,22,licence,1st,Web development,7–8 hours,4–6 hours,no,0,10–20 hours,yes,moderate,6
06/04/2026 16:33:00,18,licence,2nd,Biotechnology,7–8 hours,4–6 hours,yes,2,Less than 10 hours,yes,low,3
16/02/2026 00:39:00,24,cycle d'ingénieur,1st,Biomedical engineering,5–6 hours,2–4 hours,yes,0,Less than 10 hours,yes,low,5
03/02/2026 13:52:00,23,cycle d'ingénieur,3rd,Robotics,Less than 5 hours,More than 6 hours,yes,1,Less than 10 hours,yes,low,5
04/02/2026 14:19:00,21,licence,3rd,Sciences de gestion,5–6 hours,2–4 hours,no,1,10–20 hours,no,low,1
10/03/2026 20:44:42,19,licence,1st,Sciences de gestion ,7–8 hours,4–6 hours,no,3 or more,10–20 hours,yes,moderate,6
05/02/2026 23:30:00,27,pharmacie,3rd,Industrial pharmacy,5–6 hours,More than 6 hours,yes,3 or more,10–20 hours,no,moderate,9
19/02/2026 15:31:00,29,doctorat,1st,Architecture and urban planning,5–6 hours,4–6 hours,no,2,20–30 hours,yes,high,9
01/02/2026 02:53:00,24,licence,3rd,Chemistry,More than 8 hours,2–4 hours,no,2,Less than 10 hours,no,low,6
07/02/2026 16:01:00,20,licence,2nd,Physics,5–6 hours,More than 6 hours,yes,0,20–30 hours,yes,low,4
09/01/2026 23:56:00,24,cycle d'ingénieur,5th,Data science,5–6 hours,More than 6 hours,no,2,More than 30 hours,yes,high,8
24/03/2026 20:45:00,18,médecine,2nd,Cardiology,Less than 5 hours,4–6 hours,yes,1,Less than 10 hours,yes,moderate,8
19/04/2026 09:36:00,18,préparatoire intégrée,2nd,Chemistry,Less than 5 hours,More than 6 hours,no,0,10–20 hours,yes,high,10
23/02/2026 01:26:00,30,doctorat,3rd,Biomedical research,5–6 hours,More than 6 hours,yes,3 or more,Less than 10 hours,no,low,3
26/03/2026 18:37:00,30,mastère,1st,Data analytics,7–8 hours,More than 6 hours,no,0,20–30 hours,yes,high,4
01/03/2026 09:39:00,24,cycle d'ingénieur,4th,Healthcare IT,5–6 hours,More than 6 hours,no,2,10–20 hours,no,high,7
28/01/2026 06:12:00,23,licence,2nd,History,7–8 hours,4–6 hours,no,2,Less than 10 hours,no,moderate,8
12/04/2026 07:24:00,23,licence,2nd,Network security,7–8 hours,More than 6 hours,no,2,10–20 hours,no,low,1
07/02/2026 01:02:00,17,licence,3rd,Psychology,5–6 hours,2–4 hours,yes,2,Less than 10 hours,yes,low,5
16/03/2026 01:03:00,19,cycle d'ingénieur,5th,Cybersecurity,More than 8 hours,2–4 hours,no,1,Less than 10 hours,no,low,1
27/04/2026 11:17:00,27,cycle d'ingénieur,1st,Software engineering,Less than 5 hours,More than 6 hours,no,2,More than 30 hours,yes,moderate,10
30/01/2026 00:51:00,21,licence,3rd,Law,7–8 hours,2–4 hours,yes,0,Less than 10 hours,yes,low,3
